id,price,currency,rooms,area,location,city
6131153,3000000,AZN,,100.0,Lökbatan,Bakı
6433835,248880,AZN,1,61.0,Nardaran,Bakı
6464020,150000,AZN,,130.0,Binə,Bakı
5932496,240000,AZN,4,160.0,Şüvəlan,Bakı
6275880,250000,AZN,,75.0,Zabrat,Bakı
6453680,495000,AZN,4,180.0,Şüvəlan,Bakı
5443704,231336,AZN,1,56.7,Sea Breeze,Bakı
6464007,585000,AZN,4,170.0,Mərdəkan,Bakı
6190260,290000,AZN,4,180.0,Mərdəkan,Bakı
6461084,609000,AZN,6,420.0,Bilgəh,Bakı
6231449,229000,AZN,4,80.0,Həzi Aslanov,Bakı
6256953,250000,AZN,4,160.0,Şüvəlan,Bakı
6303020,310000,AZN,3,135.0,Qara Qarayev,Bakı
6368839,228000,AZN,2,60.0,Nərimanov,Bakı
5436469,2200,AZN,,184.0,Xətai,Bakı
6248609,219900,AZN,2,56.7,Nəsimi,Bakı
6477674,239000,AZN,3,80.0,Həzi Aslanov,Bakı
6469913,495000,AZN,,200.0,İçəri Şəhər,Bakı
6071510,40000,AZN,,8.0,Qobu,Bakı
6048046,256000,AZN,2,90.0,Nərimanov,Bakı
6467021,541260,AZN,2,76.7,Nardaran,Bakı
6461339,230000,AZN,2,96.0,20 Yanvar,Bakı
6309352,107000,AZN,2,77.5,Albalılıq,Bakı
6477661,170000,AZN,4,120.0,Savalan,Bakı
5950360,400000,AZN,4,177.5,Şah İsmayıl Xətai,Bakı
6423373,89000,AZN,2,30.0,28 May,Bakı
5516595,326315,AZN,2,69.8,Sea Breeze,Bakı
6429202,135000,AZN,,20.0,Qala,Bakı
6458024,142000,AZN,3,69.0,,Xırdalan
6423229,1500000,AZN,14,1250.0,Novxanı,Bakı
5443083,411645,AZN,2,86.5,Sea Breeze,Bakı
6458177,320000,AZN,3,90.0,Badamdar,Bakı
5557109,212500,AZN,,85.0,,Sumqayıt
6308144,239000,AZN,2,94.0,20 Yanvar,Bakı
6391796,60000,AZN,3,87.0,Zığ,Bakı
6462843,225000,AZN,4,100.0,Neftçilər,Bakı
5442812,274091,AZN,2,70.1,Sea Breeze,Bakı
6322102,200,AZN,2,120.0,Novxanı,Bakı
5653012,1400,AZN,3,120.0,Nərimanov,Bakı
6475555,585000,AZN,4,182.0,Nəriman Nərimanov,Bakı
6172543,1180000,AZN,6,330.0,Mərdəkan,Bakı
4472685,116480,AZN,2,72.8,,Sumqayıt
6177412,163625,AZN,1,55.0,Nardaran,Bakı
6466986,169000,AZN,2,70.0,Badamdar,Bakı
6468926,295000,AZN,2,84.3,Nəriman Nərimanov,Bakı
6430044,598000,AZN,3,127.0,Ağ şəhər,Bakı
6475560,260000,AZN,5,165.0,Buzovna,Bakı
6476055,1100000,AZN,4,205.0,Nəsimi,Bakı
6080357,596700,AZN,3,135.0,Nardaran,Bakı
6450829,590000,AZN,4,185.0,Nəriman Nərimanov,Bakı
5453887,475000,AZN,5,220.0,Qaraçuxur,Bakı
6323763,255000,AZN,4,92.0,Həzi Aslanov,Bakı
5600109,262642,AZN,1,58.3,Sea Breeze,Bakı
6466966,750000,AZN,4,148.6,Ağ şəhər,Bakı
6399616,310000,AZN,4,110.0,Binəqədi,Bakı
6184076,800,AZN,4,140.0,Abşeron,Sumqayıt
6396307,220000,AZN,2,71.0,Gənclik,Bakı
6425352,1300000,AZN,,15.9,Masazır,Bakı
6243168,198000,AZN,3,117.0,,Xırdalan
6451986,165000,AZN,2,71.4,Əmircan,Bakı
6453598,395000,AZN,3,105.0,Nəriman Nərimanov,Bakı
5921691,299500,AZN,1,60.0,Nardaran,Bakı
6464305,850000,AZN,8,390.0,Sea Breeze,Bakı
4172542,500000,AZN,,10.0,Şağan,Bakı
6469771,175000,AZN,2,60.0,Bakıxanov,Bakı
4502351,663935,AZN,2,107.0,Nardaran,Bakı
6069832,155000,AZN,2,62.0,Neftçilər,Bakı
6469861,202000,AZN,2,83.0,Nəriman Nərimanov,Bakı
6467136,595000,AZN,4,180.0,Mərdəkan,Bakı
6283751,1700,AZN,2,110.0,28 May,Bakı
6310873,1700,AZN,,75.0,Ağ şəhər,Bakı
6403485,59500,AZN,2,65.0,Məmmədli,Bakı
6335393,439000,AZN,5,172.0,Şüvəlan,Bakı
6445106,700000,AZN,,201.0,Yeni Yasamal,Bakı
6428619,280000,AZN,7,300.0,Hövsan,Bakı
5501305,513528,AZN,3,140.5,Sea Breeze,Bakı
4237623,543730,AZN,2,98.86,Elmlər Akademiyası,Bakı
6326509,1188715,AZN,4,216.1,Elmlər Akademiyası,Bakı
5867067,812900,AZN,4,147.8,Elmlər Akademiyası,Bakı
6200267,350000,AZN,,250.0,Gənclik,Bakı
6450644,155000,AZN,3,90.0,Masazır,Bakı
4190770,1128215,AZN,4,205.13,Elmlər Akademiyası,Bakı
4452982,318325,AZN,1,53.5,Nardaran,Bakı
6405778,42000,AZN,,5.0,Dübəndi,Bakı
6167930,690000,AZN,7,500.0,Novxanı,Bakı
5936849,177000,AZN,1,60.0,Nardaran,Bakı
4989746,250,AZN,7,300.0,Şüvəlan,Bakı
5555412,405977,AZN,2,91.9,Sea Breeze,Bakı
6472772,2200,AZN,5,245.0,Nəsimi,Bakı
6422300,258000,AZN,2,58.0,Nərimanov,Bakı
6350299,1000,AZN,3,70.0,Yasamal,Bakı
6398225,99,AZN,3,122.0,Pirşağı,Bakı
6422293,358000,AZN,3,88.0,Nərimanov,Bakı
6286163,54000,AZN,3,90.0,Məmmədli,Bakı
6439458,210000,AZN,3,75.0,Gənclik,Bakı
6147518,55000,AZN,3,90.0,Binə,Bakı
6467702,268000,AZN,2,65.0,Gənclik,Bakı
4965982,285147,AZN,3,96.6,Dərnəgül,Bakı
4967088,236168,AZN,2,89.1,Dərnəgül,Bakı
4967576,331920,AZN,3,138.3,Dərnəgül,Bakı
5998829,538000,AZN,9,545.0,Şıxov,Bakı
6469355,85000,AZN,2,50.0,Dərnəgül,Bakı
6468882,80000,AZN,2,68.0,Saray,Bakı
6383069,369500,AZN,3,86.6,Sea Breeze,Bakı
6468678,2500,AZN,3,145.0,Mərdəkan,Bakı
6472044,123000,AZN,2,40.0,Gənclik,Bakı
5312596,98000,AZN,,5.0,Novxanı,Bakı
6405793,219000,AZN,3,85.0,Yeni Yasamal,Bakı
6460911,310000,AZN,3,94.0,Nərimanov,Bakı
6061385,310000,AZN,1,75.0,Sea Breeze,Bakı
4179699,500000,AZN,3,137.0,Nəriman Nərimanov,Bakı
4179866,505000,AZN,3,153.0,Nəriman Nərimanov,Bakı
4126392,810000,AZN,5,216.0,Nərimanov,Bakı
3891057,475000,AZN,3,137.0,Nərimanov,Bakı
3891023,365000,AZN,3,105.0,Nərimanov,Bakı
4179630,355000,AZN,3,105.0,Nəriman Nərimanov,Bakı
6477852,144500,AZN,2,50.0,Avtovağzal,Bakı
6220087,100,AZN,3,100.0,Mərdəkan,Bakı
6428532,275000,AZN,7,380.0,Zabrat,Bakı
6415154,820000,AZN,4,400.0,Şüvəlan,Bakı
6066614,120000,AZN,4,120.0,Fatmayı,Bakı
6436310,310000,AZN,2,85.5,Nərimanov,Bakı
6422061,288000,AZN,2,72.0,Nizami,Bakı
6460755,475000,AZN,3,125.0,Şah İsmayıl Xətai,Bakı
5354947,340000,AZN,,12.0,Şüvəlan,Bakı
5892869,1100,AZN,2,70.0,Nəriman Nərimanov,Bakı
5892878,300,AZN,1,14.0,Nərimanov,Bakı
6469744,470000,AZN,4,178.0,Bayıl,Bakı
6341989,100000,AZN,2,60.1,,Sumqayıt
6457210,110000,AZN,5,196.0,Türkan,Bakı
5892567,250,AZN,1,12.0,Nərimanov,Bakı
6476167,300000,AZN,3,126.5,Qara Qarayev,Bakı
6380037,158000,AZN,4,133.0,Binə,Bakı
6392643,204408,AZN,1,50.1,Nardaran,Bakı
6342049,460000,AZN,3,125.0,Şah İsmayıl Xətai,Bakı
