id,price,currency,rooms,area,floor,hasRepair,location,city
6450580,249000,AZN,5,150.0,,True,Savalan,Bakı
6475474,235000,AZN,3,101.0,14,True,Həzi Aslanov,Bakı
6461236,450000,AZN,2,100.0,8,True,Nəriman Nərimanov,Bakı
6445151,137000,AZN,3,76.0,3,True,Hövsan,Bakı
6447851,159000,AZN,2,40.0,12,True,Bayıl,Bakı
6395676,990000,AZN,8,400.0,,True,Badamdar,Bakı
6419810,25500,AZN,,7.0,,,,Xızı
6243634,60000,AZN,,20.0,,,,Quba
6412547,400000,AZN,,500.0,,False,28 May,Bakı
6223078,310000,AZN,3,144.0,5,False,28 May,Bakı
6053117,1700000,AZN,,1000.0,,True,Novxanı,Bakı
6286399,221000,AZN,3,114.0,8,False,Həzi Aslanov,Bakı
6475707,230000,AZN,4,211.6,,False,Pirallahı,Bakı
5566735,429000,AZN,4,173.0,3,False,Koroğlu,Bakı
6409683,310000,AZN,3,137.0,7,True,8-ci kilometr,Bakı
6486619,470000,AZN,4,170.0,15,True,Şah İsmayıl Xətai,Bakı
6483063,124000,AZN,2,30.0,4,True,Memar Əcəmi,Bakı
6457185,130000,AZN,6,220.0,,True,Hövsan,Bakı
6260372,149000,AZN,3,120.0,,True,Novxanı,Bakı
5935556,500000,AZN,,8.0,,,Qara Qarayev,Bakı
6384284,315000,AZN,3,110.0,17,True,Qara Qarayev,Bakı
6412278,330000,AZN,3,105.0,12,True,Neftçilər,Bakı
6447773,150000,AZN,,50.0,,,,Quba
6346763,1065000,AZN,4,176.8,7,False,Ağ şəhər,Bakı
6474629,255000,AZN,,174.0,,True,İnşaatçılar,Bakı
6484978,295000,AZN,4,160.0,,True,Mərdəkan,Bakı
6347322,560000,AZN,4,210.0,12,True,Nəsimi,Bakı
6455085,127500,AZN,2,62.0,11,True,Abşeron,Xırdalan
6452870,2000,AZN,5,180.0,,True,Mərdəkan,Bakı
6486554,100000,AZN,5,240.0,,False,Zığ,Bakı
5773256,2000,AZN,3,135.0,4,True,Ağ şəhər,Bakı
6382436,954900,AZN,4,241.0,12,False,Nəsimi,Bakı
6459582,800,AZN,3,70.0,15,True,Əhmədli,Bakı
6478208,900,AZN,3,145.0,10,True,8-ci kilometr,Bakı
6164714,47000,AZN,,8.0,,,Qobu,Bakı
6453668,365000,AZN,3,92.0,15,True,Nəsimi,Bakı
6486009,129000,AZN,6,160.0,,True,Hökməli,Bakı
6476193,185000,AZN,3,83.0,7,True,Bakıxanov,Bakı
6434051,288000,AZN,3,110.0,7,True,Həzi Aslanov,Bakı
6482014,195000,AZN,2,55.0,3,True,İnşaatçılar,Bakı
6484649,348000,AZN,,8.0,,,Bakıxanov,Bakı
6461495,850,AZN,2,70.0,10,True,Nəsimi,Bakı
5639405,120,AZN,3,120.0,4,True,Ağ şəhər,Bakı
6088135,85,AZN,2,98.0,5,True,Şah İsmayıl Xətai,Bakı
4936758,100,AZN,2,95.0,4,True,Ağ şəhər,Bakı
6484643,87000,AZN,2,55.0,5,True,Masazır,Bakı
6486058,850,AZN,3,125.0,16,True,Yeni Yasamal,Bakı
6233209,1000,AZN,4,120.0,,True,Mərdəkan,Bakı
6469762,750,AZN,2,90.0,14,True,Yeni Yasamal,Bakı
6486022,435000,AZN,3,115.0,16,True,Şah İsmayıl Xətai,Bakı
6335225,219000,AZN,3,85.0,3,True,Nəsimi,Bakı
6412525,143000,AZN,2,65.0,5,True,Abşeron,Xırdalan
6462634,330000,AZN,3,97.0,13,True,Elmlər Akademiyası,Bakı
6476769,139000,AZN,3,75.0,,True,Abşeron,Xırdalan
6466404,122999,AZN,1,30.0,5,True,Memar Əcəmi,Bakı
6457495,165000,AZN,3,55.0,4,True,Memar Əcəmi,Bakı
6393718,1200000,AZN,,115.0,,True,28 May,Bakı
6460388,63500,AZN,,5.0,,,,Qəbələ
6385382,195000,AZN,3,70.0,9,True,Memar Əcəmi,Bakı
6384520,163000,AZN,2,58.0,2,True,Memar Əcəmi,Bakı
6483928,127500,AZN,2,68.0,5,False,Əmircan,Bakı
6450731,238000,AZN,3,88.0,8,True,İnşaatçılar,Bakı
6410401,355000,AZN,4,123.0,9,True,Memar Əcəmi,Bakı
6230988,189000,AZN,3,74.0,4,True,Nəsimi,Bakı
6462109,525555,AZN,5,240.0,7,True,8-ci mikrorayon,Bakı
6437192,450000,AZN,2,101.0,8,True,Nəriman Nərimanov,Bakı
6481008,219000,AZN,3,96.0,10,True,Həzi Aslanov,Bakı
6402503,119500,AZN,3,108.0,,True,Binə,Bakı
6192602,299000,AZN,5,400.0,,False,Badamdar,Bakı
6483571,128000,AZN,1,30.0,3,True,Neftçilər,Bakı
6477057,137000,AZN,2,68.8,3,True,Yeni Günəşli,Bakı
6467237,177000,AZN,4,260.0,,True,Masazır,Bakı
6403781,520200,AZN,,280.0,,True,Biləcəri,Bakı
6274756,67500,AZN,3,110.0,,True,Binə,Bakı
6283897,165000,AZN,3,80.0,1,True,Köhnə Günəşli,Bakı
6009441,279000,AZN,2,77.0,15,True,Səbail,Bakı
6264360,950,AZN,1,44.0,3,True,Sea Breeze,Bakı
6482486,485000,AZN,4,225.0,,True,Şüvəlan,Bakı
6277179,115000,AZN,2,100.0,5,False,Lökbatan,Bakı
6472980,105000,AZN,,6.0,,,Bilgəh,Bakı
6090200,99000,AZN,,3.0,,,Mərdəkan,Bakı
6380393,100000,AZN,1,39.0,6,False,Sea Breeze,Bakı
6380408,97000,AZN,1,38.0,8,False,Sea Breeze,Bakı
6433237,128000,AZN,4,120.0,,True,Binəqədi,Bakı
6172629,750000,AZN,5,400.0,,True,Bilgəh,Bakı
6422476,188000,AZN,3,80.0,9,True,Qaraçuxur,Bakı
5776084,285000,AZN,1,58.0,4,True,Nardaran,Bakı
6464155,330000,AZN,2,65.0,2,True,Sea Breeze,Bakı
6473114,110000,AZN,1,40.0,2,False,Sea Breeze,Bakı
6300677,395000,AZN,,12.0,,,Buzovna,Bakı
6431818,132000,AZN,,12.0,,,Nardaran,Bakı
5521838,720000,AZN,,44.0,,True,Nardaran,Bakı
6447764,88500,AZN,2,57.0,3,True,Masazır,Bakı
6447745,88500,AZN,2,54.0,2,True,Masazır,Bakı
6477850,153000,AZN,2,55.0,5,True,İnşaatçılar,Bakı
6183050,440000,AZN,3,105.0,14,True,Koroğlu,Bakı
6442344,98000,AZN,2,80.8,13,False,Binəqədi,Bakı
6438875,145000,AZN,3,94.0,11,True,Binəqədi,Bakı
6386940,277219,AZN,2,70.9,3,False,Nardaran,Bakı
6475750,160000,AZN,6,160.0,,True,Savalan,Bakı
6422618,163000,AZN,1,50.0,6,False,Sea Breeze,Bakı
6461205,129000,AZN,3,62.0,6,True,,Xırdalan
5263470,816000,AZN,3,135.0,4,True,Sea Breeze,Bakı
5978391,570000,AZN,6,300.0,,True,Bilgəh,Bakı
6473069,263500,AZN,1,43.0,6,True,Sea Breeze,Bakı
6473100,350000,AZN,2,74.0,2,True,Sea Breeze,Bakı
6473095,360000,AZN,2,76.0,3,True,Sea Breeze,Bakı
5407427,320000,AZN,3,140.0,17,True,Nərimanov,Bakı
6480751,117000,AZN,2,60.0,11,False,İnşaatçılar,Bakı
6436517,12000,AZN,,384.0,,False,Şah İsmayıl Xətai,Bakı
6468086,67500,AZN,2,50.0,6,False,Masazır,Bakı
6486661,400,AZN,,200.0,,True,Elmlər Akademiyası,Bakı
6464118,115000,AZN,3,71.0,5,True,Masazır,Bakı
6314571,365660,AZN,3,114.9,3,False,Nardaran,Bakı
6091147,258000,AZN,3,90.0,3,True,,Sumqayıt
6458345,115000,AZN,2,58.0,9,True,Zığ,Bakı
6330330,221995,AZN,1,53.3,7,False,Nardaran,Bakı
6456260,2000000,AZN,3,266.0,7,True,Sea Breeze,Bakı
6456270,350000,AZN,2,76.0,2,True,Sea Breeze,Bakı
6456274,350000,AZN,2,69.0,1,True,Sea Breeze,Bakı
6456290,207000,AZN,2,64.0,3,False,Sea Breeze,Bakı
6473919,95000,AZN,,3.0,,,Şağan,Bakı
6393075,565000,AZN,4,170.0,3,True,Nəsimi,Bakı
6052975,455000,AZN,6,350.0,,True,Mərdəkan,Bakı
6373307,1250000,AZN,6,440.0,15,True,Şah İsmayıl Xətai,Bakı
6475720,230000,AZN,2,95.0,8,False,Nardaran,Bakı
6186818,615000,AZN,4,207.0,15,False,Nəsimi,Bakı
6467037,395000,AZN,3,120.0,12,True,Memar Əcəmi,Bakı
6220848,174420,AZN,1,36.0,1,True,Nardaran,Bakı
6477783,125000,AZN,2,52.0,5,True,Badamdar,Bakı
6483659,290000,AZN,3,90.0,3,True,Şah İsmayıl Xətai,Bakı
6399911,490000,AZN,3,108.0,16,True,Nizami,Bakı
6296775,679791,AZN,3,160.7,2,True,Nardaran,Bakı
6483655,500,AZN,2,35.0,,True,Nəsimi,Bakı
6193083,550000,AZN,6,160.0,2,True,Nəriman Nərimanov,Bakı
6174392,300,AZN,5,340.0,,True,Novxanı,Bakı
6222148,353658,AZN,1,48.4,7,True,Nardaran,Bakı
6439299,260000,AZN,,4.8,,,Mərdəkan,Bakı
6428669,260000,AZN,5,120.0,6,True,Əhmədli,Bakı
5620441,220000,AZN,,1300.0,,False,Qızıldaş,Bakı
6405765,277000,AZN,3,122.5,12,False,Qara Qarayev,Bakı
6027878,384846,AZN,2,53.9,5,False,,Qusar
6411390,198000,AZN,3,70.0,3,True,Bakıxanov,Bakı
6027981,239292,AZN,2,61.2,12,False,Nardaran,Bakı
6440600,728475,AZN,3,132.4,15,False,Elmlər Akademiyası,Bakı
6312922,389000,AZN,2,98.0,1,True,Sea Breeze,Bakı
6438371,48000,AZN,3,75.0,,True,Kürdəxanı,Bakı
6150257,535000,AZN,5,350.0,,True,Buzovna,Bakı
6480057,370000,AZN,3,80.0,2,True,28 May,Bakı
5971930,287491,AZN,2,72.3,14,False,Nardaran,Bakı
6270604,635000,AZN,3,162.0,4,False,Ağ şəhər,Bakı
6483544,347000,AZN,3,77.0,8,True,Nəsimi,Bakı
6406676,250000,AZN,3,100.0,4,False,Bayıl,Bakı
6450934,210000,AZN,3,67.0,2,True,İnşaatçılar,Bakı
4550787,792000,AZN,,264.0,,True,İçəri Şəhər,Bakı
6452312,185000,AZN,3,63.0,5,True,Əhmədli,Bakı
6163070,145000,AZN,3,85.0,2,True,Biləcəri,Bakı
6431725,600000,AZN,,15.0,,,Mərdəkan,Bakı
5676019,472464,AZN,1,57.9,6,False,Nardaran,Bakı
6376336,1200,AZN,,150.0,,True,Bakıxanov,Bakı
5818478,143000,AZN,4,136.0,,True,Mehdiabad,Bakı
6279469,245000,AZN,2,47.0,5,True,28 May,Bakı
5659944,230233,AZN,1,57.6,5,False,Nardaran,Bakı
6461146,468000,AZN,4,156.0,18,True,8 Noyabr,Bakı
6480498,1062000,AZN,,90.0,,True,Nərimanov,Bakı
6450510,450000,AZN,2,81.8,9,False,Ağ şəhər,Bakı
