id,price,currency,rooms,area,floor,floors,hasRepair,isVipped,isFeatured,location,city,price_per_m2
6494869,505000,AZN,4,212.0,13,22,False,False,False,28 May,Bakı,2382.08
6474913,147000,AZN,2,62.0,5,9,True,False,False,Həzi Aslanov,Bakı,2370.97
6396609,345000,AZN,3,105.0,9,15,True,False,False,Həzi Aslanov,Bakı,3285.71
5744959,112000,AZN,3,100.0,1,5,True,True,True,Mərdəkan,Bakı,1120.0
6370600,620000,AZN,4,190.0,10,12,True,True,False,Nəriman Nərimanov,Bakı,3263.16
6388212,368000,AZN,4,131.0,5,15,False,False,False,Nərimanov,Bakı,2809.16
6494865,230000,AZN,3,90.0,2,9,True,False,False,Nəsimi,Bakı,2555.56
6487831,340000,AZN,2,90.0,2,16,True,True,False,Nəriman Nərimanov,Bakı,3777.78
6494719,295000,AZN,3,82.0,7,17,True,False,False,Gənclik,Bakı,3597.56
6155211,315000,AZN,3,80.0,10,18,True,False,False,Nərimanov,Bakı,3937.5
6337435,490000,AZN,3,113.0,16,18,True,True,False,28 May,Bakı,4336.28
6487876,380000,AZN,2,100.0,2,16,True,True,False,Nəriman Nərimanov,Bakı,3800.0
6485882,205000,AZN,2,55.0,14,20,True,False,False,20 Yanvar,Bakı,3727.27
6487773,190000,AZN,2,50.0,15,16,True,True,False,Nəriman Nərimanov,Bakı,3800.0
5301180,79500,AZN,2,44.0,2,6,True,True,False,Masazır,Bakı,1806.82
6389050,200000,AZN,2,60.0,4,5,True,False,False,Nərimanov,Bakı,3333.33
6398099,330000,AZN,3,128.0,3,17,True,False,False,Həzi Aslanov,Bakı,2578.12
6224810,210000,AZN,2,65.0,19,20,False,True,True,Şah İsmayıl Xətai,Bakı,3230.77
